"","X","date","age_group","n.first_dose","n.second_dose","first_dose","second_dose","Poblacion","n.first_dose_perc","n.second_dose_perc","first_dose_perc","second_dose_perc","Country"
"171",171,"2021-02-02","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"172",172,"2021-02-02","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"173",173,"2021-02-02","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"174",174,"2021-02-02","Total",0,60627,0,418519,41965591,0,0.00144468357421679,0,0.00997290851926761,"Spain"
"175",175,"2021-02-03","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"176",176,"2021-02-03","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"177",177,"2021-02-03","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"178",178,"2021-02-03","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"179",179,"2021-02-03","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"180",180,"2021-02-03","Total",0,80459,0,498978,41965591,0,0.00191726121526562,0,0.0118901697345332,"Spain"
"181",181,"2021-02-04","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"182",182,"2021-02-04","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"183",183,"2021-02-04","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"184",184,"2021-02-04","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"185",185,"2021-02-04","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"186",186,"2021-02-04","Total",0,87144,0,586122,41965591,0,0.00207655838803748,0,0.0139667281225707,"Spain"
"187",187,"2021-02-05","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"188",188,"2021-02-05","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"189",189,"2021-02-05","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"190",190,"2021-02-05","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"191",191,"2021-02-05","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"192",192,"2021-02-05","Total",0,96787,0,682909,41965591,0,0.0023063418789932,0,0.0162730700015639,"Spain"
"193",193,"2021-02-06","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"194",194,"2021-02-06","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"195",195,"2021-02-06","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"196",196,"2021-02-06","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"197",197,"2021-02-06","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"198",198,"2021-02-06","Total",0,0,0,682909,41965591,0,0,0,0.0162730700015639,"Spain"
"199",199,"2021-02-07","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"200",200,"2021-02-07","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"201",201,"2021-02-07","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"202",202,"2021-02-07","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"203",203,"2021-02-07","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"204",204,"2021-02-07","Total",0,0,0,682909,41965591,0,0,0,0.0162730700015639,"Spain"
"205",205,"2021-02-08","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"206",206,"2021-02-08","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"207",207,"2021-02-08","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"208",208,"2021-02-08","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"209",209,"2021-02-08","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"210",210,"2021-02-08","Total",0,103498,0,786407,41965591,0,0.00246625860696207,0,0.018739328608526,"Spain"
"211",211,"2021-02-09","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"212",212,"2021-02-09","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"213",213,"2021-02-09","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"214",214,"2021-02-09","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"215",215,"2021-02-09","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"216",216,"2021-02-09","Total",0,52375,0,838782,41965591,0,0.00124804628630156,0,0.0199873748948275,"Spain"
"217",217,"2021-02-10","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"218",218,"2021-02-10","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"219",219,"2021-02-10","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"220",220,"2021-02-10","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"221",221,"2021-02-10","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"222",222,"2021-02-10","Total",0,50901,0,889683,41965591,0,0.00121292227243982,0,0.0212002971672673,"Spain"
"223",223,"2021-02-11","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"224",224,"2021-02-11","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"225",225,"2021-02-11","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"226",226,"2021-02-11","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"227",227,"2021-02-11","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"228",228,"2021-02-11","Total",0,53595,0,943278,41965591,0,0.00127711772246934,0,0.0224774148897367,"Spain"
"229",229,"2021-02-12","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"230",230,"2021-02-12","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"231",231,"2021-02-12","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"232",232,"2021-02-12","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"233",233,"2021-02-12","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"234",234,"2021-02-12","Total",0,57207,0,1000485,41965591,0,0.00136318823676283,0,0.0238406031264995,"Spain"
"235",235,"2021-02-13","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"236",236,"2021-02-13","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"237",237,"2021-02-13","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"238",238,"2021-02-13","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"239",239,"2021-02-13","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"240",240,"2021-02-13","Total",0,0,0,1000485,41965591,0,0,0,0.0238406031264995,"Spain"
"241",241,"2021-02-14","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"242",242,"2021-02-14","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"243",243,"2021-02-14","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"244",244,"2021-02-14","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"245",245,"2021-02-14","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"246",246,"2021-02-14","Total",0,0,0,1000485,41965591,0,0,0,0.0238406031264995,"Spain"
"247",247,"2021-02-15","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"248",248,"2021-02-15","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
"249",249,"2021-02-15","70-79",0,0,0,0,3984504,0,0,0,0,"Spain"
"250",250,"2021-02-15","Mas de 80",0,0,0,0,2851054,0,0,0,0,"Spain"
"251",251,"2021-02-15","Menos de 49",0,0,0,0,22744226,0,0,0,0,"Spain"
"252",252,"2021-02-15","Total",0,69606,0,1070091,41965591,0,0.0016586445786025,0,0.025499247705102,"Spain"
"253",253,"2021-02-16","50-59",0,0,0,0,7035203,0,0,0,0,"Spain"
"254",254,"2021-02-16","60-69",0,0,0,0,5350604,0,0,0,0,"Spain"
