Country,date,n.first_dose,n.second_dose,first_dose,second_dose,n.first_dose_perc,n.second_dose_perc,first_dose_perc,second_dose_perc,age_group,Poblacion
Italy,2021-04-24,4640,1784,532185,274275,0.000768678345386729,0.000295543570726277,0.0881635959568182,0.0454373390476175,20-29,6036335
Italy,2021-04-25,4131,725,536316,275000,0.000684355656205297,0.000120105991466676,0.0888479516130235,0.0455574450390841,20-29,6036335
Italy,2021-04-26,5322,1146,541638,276146,0.000881660809083658,0.000189850298235602,0.0897296124221071,0.0457472953373197,20-29,6036335
Italy,2021-04-27,5478,2043,547116,278189,0.000907504305178556,0.000338450400781269,0.0906371167272857,0.046085745738101,20-29,6036335
Italy,2021-04-28,6278,2325,553394,280514,0.00104003505438316,0.000385167489875893,0.0916771517816688,0.0464709132279769,20-29,6036335
Italy,2021-04-29,8986,3651,562380,284165,0.00148865164044076,0.000604837206682532,0.0931658034221096,0.0470757504346594,20-29,6036335
Italy,2021-04-30,8835,4673,571215,288838,0.00146363646152839,0.000774145238791419,0.094629439883638,0.0478498956734509,20-29,6036335
Italy,2021-05-01,6675,3179,577890,292017,0.00110580343867595,0.000526644064651813,0.095735243322314,0.0483765397381027,20-29,6036335
Italy,2021-05-02,6307,2758,584197,294775,0.00104483929404183,0.000456899757882888,0.0967800826163558,0.0488334394959856,20-29,6036335
Italy,2021-05-03,6422,3537,590619,298312,0.00106389058923999,0.000585951574920875,0.0978439732055958,0.0494193910709064,20-29,6036335
Italy,2021-05-04,7940,4082,598559,302394,0.00131536768585574,0.000676238147816514,0.0991593408914515,0.050095629218723,20-29,6036335
Italy,2021-05-05,8794,3919,607353,306313,0.00145684426063166,0.000649235007666076,0.100616185152083,0.050744864226389,20-29,6036335
Italy,2021-05-06,9171,5376,616524,311689,0.00151929937619433,0.000890606634654969,0.102135484528278,0.051635470861044,20-29,6036335
Italy,2021-05-07,9580,6773,626104,318462,0.00158705572172519,0.00112203845545352,0.103722540250003,0.0527575093164975,20-29,6036335
Italy,2021-05-08,9133,5974,635237,324436,0.00151300416560711,0.000989673369685414,0.10523554441561,0.0537471826861829,20-29,6036335
Italy,2021-05-09,7356,4790,642593,329226,0.00121862023893637,0.000793527860862593,0.106454164654546,0.0545407105470455,20-29,6036335
Italy,2021-05-10,8998,5131,651591,334357,0.00149063960167883,0.000850019092711057,0.107944804256225,0.0553907296397566,20-29,6036335
Italy,2021-05-11,12088,5021,663679,339378,0.00200253962048163,0.000831796114695424,0.109947343876707,0.056222525754452,20-29,6036335
Italy,2021-05-12,10750,5331,674429,344709,0.00178088194243693,0.000883151780012209,0.111728225819144,0.0571056775344642,20-29,6036335
Italy,2021-05-13,12021,6393,686450,351102,0.00199144017023575,0.00105908634958133,0.113719665989379,0.0581647638840455,20-29,6036335
Italy,2021-05-14,13679,6571,700129,357673,0.0022661101479623,0.00108857444127935,0.115985776137342,0.0592533383253249,20-29,6036335
Italy,2021-05-15,13033,5892,713162,363565,0.00215909156797958,0.000976088967891941,0.118144867705321,0.0602294272932168,20-29,6036335
Italy,2021-05-16,9273,4328,722435,367893,0.00153619704671792,0.000716991353196932,0.119681064752039,0.0609464186464138,20-29,6036335
Italy,2021-05-17,8954,7153,731389,375046,0.00148335041047258,0.00118499056132571,0.121164415162512,0.0621314092077395,20-29,6036335
Italy,2021-05-18,13339,7471,744728,382517,0.00220978457955034,0.00123767153413454,0.123374199742062,0.063369080741874,20-29,6036335
Italy,2021-05-19,11156,7501,755884,390018,0.00184814129765826,0.00124264143722971,0.12522234103972,0.0646117221791037,20-29,6036335
Italy,2021-05-20,12658,10129,768542,400147,0.00209696777928992,0.00167800494836685,0.12731930881901,0.0662897271274706,20-29,6036335
Italy,2021-05-21,15001,10668,783543,410815,0.00248511721102291,0.00176729754064345,0.129804426030033,0.068057024668114,20-29,6036335
Italy,2021-05-22,14903,8637,798446,419452,0.00246888219424535,0.00143083510110025,0.132273308224278,0.0694878597692143,20-29,6036335
Italy,2021-05-23,11643,6732,810089,426184,0.00192881939123657,0.00111524625455678,0.134202127615515,0.0706031060237711,20-29,6036335
Italy,2021-05-24,11304,8783,821393,434967,0.00187265948626112,0.00145502196283009,0.136074787101776,0.0720581279866011,20-29,6036335
Italy,2021-05-25,12142,10304,833535,445271,0.00201148544605294,0.00170699604975536,0.138086272547829,0.0737651240363565,20-29,6036335
Italy,2021-05-26,12955,11629,846490,456900,0.00214616981993213,0.00192650010312549,0.140232442367761,0.075691624139482,20-29,6036335
Italy,2021-05-27,15467,12075,861957,468975,0.0025623163724346,0.00200038599580706,0.142794758740196,0.077692010135289,20-29,6036335
Italy,2021-05-28,15639,12950,877596,481925,0.00259081048351359,0.0021453415027496,0.145385569223709,0.0798373516380387,20-29,6036335
Italy,2021-05-29,14613,10507,892209,492432,0.00242083979765868,0.00174062572736603,0.147806409021368,0.0815779773654047,20-29,6036335
